id	name	active	folder_name	node_count	versionCounter
uwIssy08RouteFacilities	v01.UWI_LANE08	f	UWISSY	24	1
gp8WlccGwLydNWG7	v01.UWI_LANE20	f	UWISSY	36	5
KhbGg5gBn7Rbne68	v01.UWI_LANE30	f	UWISSY	41	2
RR7cLSV9oGngrJdA	v02.UWI_LANE01	t	UWISSY	32	19
fA0ZjWH3Itl83aPC	v02.UWI_LANE02	t	UWISSY	40	8
qlM2XIv2BbFSh3in	v02.UWI_LANE03	t	UWISSY	48	5
w6xnelPQeRFZk8BG	v02.UWI_LANE04	t	UWISSY	36	4
4RiNqOKD9BCZFH6P	v02.UWI_LANE05	t	UWISSY	56	6
poGV37VLUGIUxfGK	v02.UWI_LANE06	t	UWISSY	48	5
08g3JNwQPVSxUl2H	v02.UWI_LANE07	t	UWISSY	48	5
(10 rows)
