uwIssy08RouteFacilities	v01.UWI_LANE08	f	0	LaS9Q6sil9yCDzrV	1		Y0Ygmqe59jevHoeV	2026-08-04 00:20:49.903+00	24
gp8WlccGwLydNWG7	v01.UWI_LANE20	f	1	LaS9Q6sil9yCDzrV	5		Y0Ygmqe59jevHoeV	2026-08-03 17:27:10.556+00	36
KhbGg5gBn7Rbne68	v01.UWI_LANE30	f	1	LaS9Q6sil9yCDzrV	2		Y0Ygmqe59jevHoeV	2026-08-03 17:27:20.25+00	41
RR7cLSV9oGngrJdA	v02.UWI_LANE01	t	1	LaS9Q6sil9yCDzrV	19	7192cded-72af-4f29-b73f-9496658655d0	Y0Ygmqe59jevHoeV	2026-08-19 05:19:58.67+00	32
fA0ZjWH3Itl83aPC	v02.UWI_LANE02	t	1	LaS9Q6sil9yCDzrV	8	b2ca5060-a499-4ca1-aad5-0460bd58d832	Y0Ygmqe59jevHoeV	2026-08-19 05:37:12.85+00	40
qlM2XIv2BbFSh3in	v02.UWI_LANE03	t	1	LaS9Q6sil9yCDzrV	5	9c78d9e0-3622-4f7c-9c83-12e67abc6392	Y0Ygmqe59jevHoeV	2026-08-19 05:43:53.231+00	48
w6xnelPQeRFZk8BG	v02.UWI_LANE04	t	1	LaS9Q6sil9yCDzrV	4	b93b194d-41aa-48cf-8f5b-01c13f9c9473	Y0Ygmqe59jevHoeV	2026-08-19 05:52:59.279+00	36
4RiNqOKD9BCZFH6P	v02.UWI_LANE05	t	1	LaS9Q6sil9yCDzrV	6	b975c971-f73b-4c02-808e-6acaae76140a	Y0Ygmqe59jevHoeV	2026-08-19 06:04:10.394+00	56
poGV37VLUGIUxfGK	v02.UWI_LANE06	t	1	LaS9Q6sil9yCDzrV	5	63cbd167-7602-4b88-a872-a9122542feaf	Y0Ygmqe59jevHoeV	2026-08-19 06:16:55.668+00	48
08g3JNwQPVSxUl2H	v02.UWI_LANE07	t	1	LaS9Q6sil9yCDzrV	5	f46394a3-bc05-475c-8e50-0d52cc3cecde	Y0Ygmqe59jevHoeV	2026-08-19 06:25:54.845+00	48
